Time, IP-address, port, IP-address, port, num, rand, bytes, Throughput
20220706195226,192.168.1.2,56342,192.168.1.3,5001,1,210.0-211.0,85999184,687993472
20220706195227,192.168.1.2,56342,192.168.1.3,5001,1,211.0-212.0,77281504,618252032
20220706195228,192.168.1.2,56342,192.168.1.3,5001,1,212.0-213.0,55456112,443648896
20220706195229,192.168.1.2,56342,192.168.1.3,5001,1,213.0-214.0,62631856,501054848
20220706195230,192.168.1.2,56342,192.168.1.3,5001,1,214.0-215.0,83630408,669043264
20220706195231,192.168.1.2,56342,192.168.1.3,5001,1,215.0-216.0,83323812,666590496
20220706195232,192.168.1.2,56342,192.168.1.3,5001,1,216.0-217.0,112375496,899003968
20220706195233,192.168.1.2,56342,192.168.1.3,5001,1,217.0-218.0,108466532,867732256
20220706195234,192.168.1.2,56342,192.168.1.3,5001,1,218.0-219.0,107130644,857045152
20220706195235,192.168.1.2,56342,192.168.1.3,5001,1,219.0-220.0,165375852,1323006816
20220706195236,192.168.1.2,56342,192.168.1.3,5001,1,220.0-221.0,204305128,1634441024
20220706195237,192.168.1.2,56342,192.168.1.3,5001,1,221.0-222.0,183445744,1467565952
20220706195238,192.168.1.2,56342,192.168.1.3,5001,1,222.0-223.0,113160428,905283424
20220706195239,192.168.1.2,56342,192.168.1.3,5001,1,223.0-224.0,148520504,1188164032
20220706195240,192.168.1.2,56342,192.168.1.3,5001,1,224.0-225.0,109502852,876022816
20220706195241,192.168.1.2,56342,192.168.1.3,5001,1,225.0-226.0,90249592,721996736
20220706195242,192.168.1.2,56342,192.168.1.3,5001,1,226.0-227.0,83820808,670566464
20220706195243,192.168.1.2,56342,192.168.1.3,5001,1,227.0-228.0,86946344,695570752
20220706195244,192.168.1.2,56342,192.168.1.3,5001,1,228.0-229.0,52436028,419488224
20220706195245,192.168.1.2,56342,192.168.1.3,5001,1,229.0-230.0,76199168,609593344
20220706195246,192.168.1.2,56342,192.168.1.3,5001,1,230.0-231.0,51504944,412039552
20220706195247,192.168.1.2,56342,192.168.1.3,5001,1,231.0-232.0,115684524,925476192
20220706195248,192.168.1.2,56342,192.168.1.3,5001,1,232.0-233.0,108584336,868674688
20220706195249,192.168.1.2,56342,192.168.1.3,5001,1,233.0-234.0,92474888,739799104
20220706195250,192.168.1.2,56342,192.168.1.3,5001,1,234.0-235.0,128950464,1031603712
20220706195251,192.168.1.2,56342,192.168.1.3,5001,1,235.0-236.0,131231268,1049850144
20220706195252,192.168.1.2,56342,192.168.1.3,5001,1,236.0-237.0,135457968,1083663744
20220706195253,192.168.1.2,56342,192.168.1.3,5001,1,237.0-238.0,213024804,1704198432
20220706195254,192.168.1.2,56342,192.168.1.3,5001,1,238.0-239.0,153734356,1229874848
